x, y, z, alpha, beta, gamma, zero
0.548447, -0.00055217, 0.624314, -0.0200551, 0.000228162, 3.13449, 0
0.542466, -0.00109815, 0.624096, -0.0399144, 0.000456693, 3.12745, 0
0.536547, -0.00163817, 0.623883, -0.0595796, 0.000685486, 3.12048, 0
0.53069, -0.00217241, 0.623675, -0.0790526, 0.000914453, 3.11357, 0
0.524893, -0.00270105, 0.623471, -0.098335, 0.00114353, 3.10673, 0
0.519156, -0.0032242, 0.623272, -0.117429, 0.00137267, 3.09996, 0
0.513477, -0.00374199, 0.623077, -0.136335, 0.00160182, 3.09325, 0
0.507857, -0.00425452, 0.622886, -0.155055, 0.00183098, 3.0866, 0
0.502294, -0.00476188, 0.622699, -0.173592, 0.00206011, 3.08002, 0
0.496788, -0.00526412, 0.622515, -0.191946, 0.00228921, 3.0735, 0
0.491337, -0.00576133, 0.622335, -0.21012, 0.00251828, 3.06705, 0
0.485942, -0.00625355, 0.622158, -0.228114, 0.00274732, 3.06065, 0
0.480601, -0.00674083, 0.621984, -0.24593, 0.00297632, 3.05433, 0
0.475315, -0.00722322, 0.621814, -0.26357, 0.0032053, 3.04806, 0
0.470081, -0.00770077, 0.621646, -0.281035, 0.00343427, 3.04186, 0
0.464901, -0.00817351, 0.621482, -0.298327, 0.00366322, 3.03572, 0
0.459773, -0.00864148, 0.62132, -0.315447, 0.00389216, 3.02964, 0
0.454696, -0.00910471, 0.621161, -0.332398, 0.0041211, 3.02362, 0
0.44967, -0.00956325, 0.621004, -0.349179, 0.00435004, 3.01766, 0
0.444695, -0.0100171, 0.62085, -0.365794, 0.00457898, 3.01176, 0
0.43977, -0.0104664, 0.620698, -0.382243, 0.00480793, 3.00592, 0
0.434894, -0.010911, 0.620549, -0.398528, 0.00503686, 3.00014, 0
0.430068, -0.0113511, 0.620403, -0.41465, 0.00526579, 2.99442, 0
0.425289, -0.0117867, 0.620258, -0.430611, 0.0054947, 2.98876, 0
0.420559, -0.0122177, 0.620116, -0.446413, 0.00572358, 2.98315, 0
0.415876, -0.0126444, 0.619976, -0.462057, 0.00595242, 2.9776, 0
0.41124, -0.0130666, 0.619838, -0.477544, 0.0061812, 2.97211, 0
0.40665, -0.0134845, 0.619702, -0.492876, 0.00640991, 2.96668, 0
0.402106, -0.013898, 0.619568, -0.508054, 0.00663851, 2.9613, 0
0.397608, -0.0143072, 0.619437, -0.52308, 0.006867, 2.95597, 0
0.393155, -0.0147122, 0.619307, -0.537956, 0.00709535, 2.9507, 0
0.388746, -0.015113, 0.619179, -0.552682, 0.00732353, 2.94548, 0
0.384382, -0.0155096, 0.619053, -0.567261, 0.00755151, 2.94032, 0
0.380061, -0.015902, 0.618928, -0.581693, 0.00777926, 2.93521, 0
0.375783, -0.0162904, 0.618806, -0.595981, 0.00800677, 2.93015, 0
0.371548, -0.0166748, 0.618685, -0.610125, 0.00823398, 2.92514, 0
0.367355, -0.0170551, 0.618566, -0.624127, 0.00846088, 2.92018, 0
