x, y, z, alpha, beta, gamma, zero
0.554174, -9.95083e-17, 0.624341, -6.16763e-19, 0.002707, 3.14159, 0
0.553858, -9.96255e-17, 0.624147, -1.22735e-18, 0.00538693, 3.14159, 0
0.553546, -9.97853e-17, 0.623955, -1.83181e-18, 0.00804006, 3.14159, 0
0.553237, -9.99714e-17, 0.623765, -2.43023e-18, 0.0106667, 3.14159, 0
0.552931, -1.00176e-16, 0.623577, -3.02265e-18, 0.013267, 3.14159, 0
0.552628, -1.003e-16, 0.62339, -3.60913e-18, 0.0158413, 3.14159, 0
0.552329, -1.00447e-16, 0.623206, -4.18974e-18, 0.0183899, 3.14159, 0
0.552032, -1.00573e-16, 0.623023, -4.76454e-18, 0.020913, 3.14159, 0
0.551738, -1.00707e-16, 0.622842, -5.33358e-18, 0.0234109, 3.14159, 0
0.551447, -1.00823e-16, 0.622663, -5.89692e-18, 0.0258838, 3.14159, 0
0.551159, -1.0097e-16, 0.622486, -6.45462e-18, 0.0283319, 3.14159, 0
0.550874, -1.01084e-16, 0.62231, -7.00673e-18, 0.0307556, 3.14159, 0
0.550592, -1.01192e-16, 0.622136, -7.55331e-18, 0.0331551, 3.14159, 0
0.550312, -1.01286e-16, 0.621964, -8.09442e-18, 0.0355305, 3.14159, 0
0.550036, -1.01375e-16, 0.621794, -8.6301e-18, 0.0378822, 3.14159, 0
0.549762, -1.01437e-16, 0.621625, -9.16043e-18, 0.0402104, 3.14159, 0
0.549491, -1.01531e-16, 0.621458, -9.68544e-18, 0.0425153, 3.14159, 0
0.549222, -1.01663e-16, 0.621293, -1.02052e-17, 0.0447971, 3.14159, 0
0.548957, -1.01706e-16, 0.62113, -1.07197e-17, 0.0470562, 3.14159, 0
0.548694, -1.01824e-16, 0.620968, -1.12291e-17, 0.0492926, 3.14159, 0
0.548433, -1.019e-16, 0.620807, -1.17334e-17, 0.0515067, 3.14159, 0
0.548175, -1.01952e-16, 0.620648, -1.22327e-17, 0.0536986, 3.14159, 0
0.54792, -1.02029e-16, 0.620491, -1.27269e-17, 0.0558686, 3.14159, 0
0.547668, -1.02109e-16, 0.620336, -1.32162e-17, 0.0580169, 3.14159, 0
0.547418, -1.02196e-16, 0.620181, -1.37006e-17, 0.0601438, 3.14159, 0
0.54717, -1.02267e-16, 0.620029, -1.41802e-17, 0.0622493, 3.14159, 0
0.546925, -1.02342e-16, 0.619878, -1.46549e-17, 0.0643338, 3.14159, 0
0.546682, -1.02389e-16, 0.619728, -1.51249e-17, 0.0663975, 3.14159, 0
0.546442, -1.02452e-16, 0.61958, -1.55902e-17, 0.0684405, 3.14159, 0
0.546204, -1.02529e-16, 0.619434, -1.60508e-17, 0.0704631, 3.14159, 0
0.545969, -1.02623e-16, 0.619289, -1.65068e-17, 0.0724655, 3.14159, 0
0.545736, -1.02715e-16, 0.619145, -1.69583e-17, 0.0744478, 3.14159, 0
0.545505, -1.02797e-16, 0.619003, -1.74052e-17, 0.0764103, 3.14159, 0
0.545276, -1.02858e-16, 0.618862, -1.78476e-17, 0.0783532, 3.14159, 0
